Agrupamento,Grupo,Tipo,CNPJ,Razão Social,E-Mail,Município,UF,Nível,Tipo de Empresa,Tipos de Atividades,Situação
AC,Empresa,Empresa Especializada,4939650000158,VIGIACRE VIGILANCIA PATRIMONIAL LTDA,CURSODEVIGILANTE@UOL.COM.BR,RIO BRANCO,AC,Matriz,LTDA,Vigilância Patrimonial,Ativa
AC,Empresa,Serviço Orgânico,5912493000150,A.A.RIBEIRO THAINES,loftbar.ac@gmail.com,RIO BRANCO,AC,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AC,Empresa,Serviço Orgânico,84308980000184,A.C.D.A  IMPORTAÇÃO EXPORTAÇÃO LTDA,aldeiza.paiva@araujosuper.com.br,RIO BRANCO,AC,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AC,Empresa,Serviço Orgânico,84308980000346,A.C.D.A  IMPORTAÇÃO EXPORTAÇÃO LTDA,aldeiza.paiva@araujosuper.com.br,RIO BRANCO,AC,Filial,,Vigilância Patrimonial,Ativa
AC,Empresa,Serviço Orgânico,84308980000508,A.C.D.A  IMPORTAÇÃO EXPORTAÇÃO LTDA,aldeiza.paiva@araujosuper.com.br,RIO BRANCO,AC,Filial,,Vigilância Patrimonial,Ativa
AC,Empresa,Serviço Orgânico,84308980000699,A.C.D.A  IMPORTAÇÃO EXPORTAÇÃO LTDA,aldeiza.paiva@araujosuper.com.br,RIO BRANCO,AC,Filial,,Vigilância Patrimonial,Ativa
AC,Empresa,Serviço Orgânico,84308980000770,A.C.D.A  IMPORTAÇÃO EXPORTAÇÃO LTDA,aldeiza.paiva@araujosuper.com.br,RIO BRANCO,AC,Filial,,Vigilância Patrimonial,Ativa
AC,Empresa,Serviço Orgânico,84308980000850,A.C.D.A  IMPORTAÇÃO EXPORTAÇÃO LTDA,aldeiza.paiva@araujosuper.com.br,RIO BRANCO,AC,Filial,,Vigilância Patrimonial,Ativa
AC,Empresa,Serviço Orgânico,84308980001075,A.C.D.A  IMPORTAÇÃO EXPORTAÇÃO LTDA,aldeiza.paiva@araujosuper.com.br,RIO BRANCO,AC,Filial,,Vigilância Patrimonial,Ativa
AC,Empresa,Serviço Orgânico,84308980001237,A.C.D.A  IMPORTAÇÃO EXPORTAÇÃO LTDA,aldeiza.paiva@araujosuper.com.br,RIO BRANCO,AC,Filial,,Vigilância Patrimonial,Ativa
AC,Empresa,Serviço Orgânico,84308980001407,A.C.D.A  IMPORTAÇÃO EXPORTAÇÃO LTDA,aldeiza.paiva@araujosuper.com.br,RIO BRANCO,AC,Filial,,Vigilância Patrimonial,Ativa
AC,Empresa,Serviço Orgânico,84308980001660,A.C.D.A  IMPORTAÇÃO EXPORTAÇÃO LTDA,aldeiza.paiva@araujosuper.com.br,RIO BRANCO,AC,Filial,,Vigilância Patrimonial,Ativa
AC,Empresa,Serviço Orgânico,84308980001741,A.C.D.A  IMPORTAÇÃO EXPORTAÇÃO LTDA,ALDEIZA.PAIVA@ARAUJOSUPER.COM.BR,RIO BRANCO,AC,Filial,,Vigilância Patrimonial,Ativa
AC,Empresa,Serviço Orgânico,4119970000161,AGRO BOI IMPORTAÇÃO E EXPORTAÇÃO LTDA,luciano@agroboinet.com.br,RIO BRANCO,AC,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AC,Empresa,Serviço Orgânico,4119970000595,AGRO BOI IMPORTAÇÃO E EXPORTAÇÃO LTDA,mariana@agroboinet.com.br,RIO BRANCO,AC,Filial,,Vigilância Patrimonial,Ativa
AC,Empresa,Serviço Orgânico,4119970000919,AGRO BOI IMPORTAÇÃO E EXPORTAÇÃO LTDA,mariana@agroboinet.com.br,RIO BRANCO,AC,Filial,,Vigilância Patrimonial,Ativa
AC,Empresa,Serviço Orgânico,4957650001071,AMAZONGAS DISTRIBUIDORA DE GLP LTDA,rh.am@amazongas.com.br,RIO BRANCO,AC,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AC,Empresa,Serviço Orgânico,26554435000171,L&G ALIMENTOS DO BRASIL LTDA,rh@mercale.com.br,RIO BRANCO,AC,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AC,Empresa,Serviço Orgânico,11467937000198,PRORAD DIAGNOSTICOS SOCIEDADE SIMPLES - EPP,administracao@proraddiagnosticos.com.br,RIO BRANCO,AC,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AC,Empresa,Serviço Orgânico,5375779000143,TAKIGAWA COMERCIO DE FRIOS LTDA,rbccti@takigawa.com.br,RIO BRANCO,AC,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Empresa Especializada,7103811000167,ALBUQUERQUE E BRUSCHI SEGURANÇA PATRIMONIAL LTDA,leticia.distac@gmail.com,MACEIÓ,AL,Matriz,LTDA,Vigilância Patrimonial/Segurança Pessoal,Ativa
AL,Empresa,Empresa Especializada,17166146000104,ARMATUS VIGILANCIA LTDA EPP,armatus@armatus.com.br,MACEIÓ,AL,Matriz,LTDA,Vigilância Patrimonial,Ativa
AL,Empresa,Empresa Especializada,60860087014310,BRINK'S SEGURANÇA E TRANSPORTE DE VALORES LTDA.,baltazar.caetano@brinks.com.br,MACEIÓ,AL,1a Filial na UF,LTDA,Vigilância Patrimonial/Transporte de Valores,Ativa
AL,Empresa,Empresa Especializada,6996393000200,EAGLE SECURITY VIP EMPRESA DE SEGURANÇA EMPRESARIAL DO NE LTDA,TIMCO@GRUPOJCM.COM.BR,MACEIÓ,AL,1a Filial na UF,LTDA,Vigilância Patrimonial,Ativa
AL,Empresa,Empresa Especializada,853486000100,FORÇA ESCOLA PREPARATÓRIA DE VIGILÂNCIA LTDA.,FORCAESCOLAVIGIL@HOTMAIL.COM,MACEIÓ,AL,Matriz,LTDA,Curso de Formação,Ativa
AL,Empresa,Empresa Especializada,16328205000211,GPS PREDIAL SISTEMAS DE SEGURANCA LTDA,EVELLYN.ROSENDO@GPSSA.COM.BR,MACEIÓ,AL,1a Filial na UF,LTDA,Vigilância Patrimonial/Escolta Armada/Segurança Pessoal,Ativa
AL,Empresa,Empresa Especializada,14634867000103,GUARNECE SEGURANÇA PATRIMONIAL LTDA,SEGURANCAGUARNECE@HOTMAIL.COM,MACEIÓ,AL,Matriz,LTDA,Vigilância Patrimonial,Ativa
AL,Empresa,Empresa Especializada,13964649000174,LEAL SEGURANÇA PATRIMONIAL LTDA,lealseguranca2013@gmail.com,ARAPIRACA,AL,Matriz,LTDA,Vigilância Patrimonial/Escolta Armada,Ativa
AL,Empresa,Empresa Especializada,12299197000190,OMEGA SEGURANÇA E VIGILANCIA PATRIMONIAL EIRELI,OMEGA-SEGURANCA@BOL.COM.BR,MACEIÓ,AL,Matriz,EIRELI,Vigilância Patrimonial,Ativa
AL,Empresa,Empresa Especializada,20772650000162,PERITO SEGURANÇA PRIVADA LTDA ME,peritoseguranca@hotmail.com,MACEIÓ,AL,Matriz,LTDA,Vigilância Patrimonial,Ativa
AL,Empresa,Empresa Especializada,11179264000766,PRESERVE SEGURANÇA E TRANSPORTE DE VALORES LTDA.,PRESERVE@PRESERVE-PE.COM.BR,MACEIÓ,AL,1a Filial na UF,LTDA,Vigilância Patrimonial/Transporte de Valores,Ativa
AL,Empresa,Empresa Especializada,11271838000136,PROATIVA FORMACAO DE VIGILANTES LTDA,PROATIVA@PROATIVAFORMACAO.COM.BR,MACEIÓ,AL,Matriz,LTDA,Curso de Formação,Ativa
AL,Empresa,Empresa Especializada,11271838000217,PROATIVA FORMACAO DE VIGILANTES LTDA,PROATIVA@PROATIVAFORMACAO.COM.BR,ARAPIRACA,AL,Filial,LTDA,Curso de Formação,Ativa
AL,Empresa,Empresa Especializada,17428731016562,PROSEGUR BRASIL S/A TRANSPORTADORA DE VALORES E SEGURANÇA,MAURICIO.IUNES@PROSEGUR.COM,MACEIÓ,AL,1a Filial na UF,S/A de Capital Fechado,Vigilância Patrimonial/Transporte de Valores/Escolta Armada/Segurança Pessoal,Ativa
AL,Empresa,Empresa Especializada,17428731016643,PROSEGUR BRASIL S/A TRANSPORTADORA DE VALORES E SEGURANÇA,MAURICIO.IUNES@PROSEGUR.COM,MACEIÓ,AL,Filial,S/A de Capital Fechado,Vigilância Patrimonial/Transporte de Valores/Escolta Armada/Segurança Pessoal,Ativa
AL,Empresa,Empresa Especializada,17428731016724,PROSEGUR BRASIL S/A TRANSPORTADORA DE VALORES E SEGURANÇA,MAURICIO.IUNES@PROSEGUR.COM,ARAPIRACA,AL,Filial,S/A de Capital Fechado,Vigilância Patrimonial/Transporte de Valores/Escolta Armada/Segurança Pessoal,Ativa
AL,Empresa,Empresa Especializada,7199146000157,PSE SEGURANÇA PRIVADA LTDA-ME,CONTATO@GRUPOPSE.COM.BR,MACEIÓ,AL,Matriz,LTDA,Vigilância Patrimonial/Escolta Armada/Segurança Pessoal,Ativa
AL,Empresa,Empresa Especializada,,PSE SEGURANÇA PRIVADA LTDA-ME,CONTATO@PSESEGURANCA.COM.BR,ARAPIRACA,AL,Outra Instalação,LTDA,Vigilância Patrimonial/Escolta Armada/Segurança Pessoal,Ativa
AL,Empresa,Empresa Especializada,1696924000218,REDENTOR SEGURANCA E VIGILANCIA LTDA,PERGENTINOMADRUGA@HOTMAIL.COM,ARAPIRACA,AL,1a Filial na UF,LTDA,Vigilância Patrimonial/Escolta Armada,Ativa
AL,Empresa,Empresa Especializada,11866801000150,SCOLTT SEGURANÇA DE VALORES LTDA,MONTTENEGRO@BOL.COM.BR,MACEIÓ,AL,Matriz,LTDA,Vigilância Patrimonial/Escolta Armada/Segurança Pessoal,Ativa
AL,Empresa,Empresa Especializada,40928202000112,SECURITY- ESCOLA DE FORMAÇÃO E APERFEIÇOAMENTO EM SEGURANÇA EIRELI,ESCOLASECURITY@UOL.COM.BR,MACEIÓ,AL,Matriz,EIRELI,Curso de Formação,Ativa
AL,Empresa,Empresa Especializada,25278459002630,SEGURPRO VIGILÂNCIA PATRIMONIAL S.A.,VALTER.JUNIOR@PROSEGUR.COM,MACEIÓ,AL,1a Filial na UF,S/A de Capital Fechado,Vigilância Patrimonial/Escolta Armada/Segurança Pessoal,Ativa
AL,Empresa,Empresa Especializada,18593359000185,SISTEMA DE SEGURANÇA PRIVADA RODRIGUES LTDA -ME,sistemaseguranca@hotmail.com,ARAPIRACA,AL,Matriz,LTDA,Vigilância Patrimonial,Ativa
AL,Empresa,Empresa Especializada,1771692000134,TIGRE VIGILÂNCIA PATRIMONIAL DE ALAGOAS LTDA,CARMEN@TIGREVIGILANCIA.COM.BR,MACEIÓ,AL,Matriz,LTDA,Vigilância Patrimonial/Escolta Armada/Segurança Pessoal,Ativa
AL,Empresa,Empresa Especializada,2958164000151,VAP VIGILÂNCIA ARMADA PATRIMONIAL LTDA,RH@VAPVIGILANCIA.COM.BR,MACEIÓ,AL,Matriz,LTDA,Vigilância Patrimonial,Ativa
AL,Empresa,Empresa Especializada,6086005000165,VIGAL VIGILANCA ALAGOANA LTDA,VIGALNET@HOTMAIL.COM,MACEIÓ,AL,Matriz,LTDA,Vigilância Patrimonial,Ativa
AL,Empresa,Empresa Especializada,5648031000177,VITAL SEGURANÇA LTDA,VITALSEGURANCA@IG.COM.BR,MACEIÓ,AL,Matriz,LTDA,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,3753945000172,ANDRADE DISTRIBUIDOR LTDA,MARLEIDE@ANDRADEDISTRIBUIDOR.COM.BR,ARAPIRACA,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,12156097000105,ASSOCIACAO ATLETICA BANCO DO BRASIL-AABB,MACEIO@AABBMACEIO.COM.BR,MACEIÓ,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,9487655000100,ASSOCIACAO DOS MORADORES E PROPRIETARIOS DE LOTES DO RESIDENCIAL RESERVA DO VALE,condominioreservadovale@hotmail.com,MACEIÓ,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,8236062000109,ASSOCIACAO DOS MORADORES RESIDENCIAL COSTA DOS COR,NELSONTOLIVIERA@IBEST.COM.BR,MACEIÓ,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,24478216000125,"ASSOCIACAO DOS PROPRIETARIOS DO JARDIM DO HORTO ""I",ADM@JARDIMDOHORTO.COM.BR,MACEIÓ,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,13967698000160,ASSOCIAÇÃO DOS MORADORES E PROPRIETARIOS DE LOTES DO LOTEAMENTO RESIDENCIAL RESERVA BELLA VISTA,reservabv@gmail.com,MACEIÓ,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,10495662000133,ASSOCIAÇÃO DOS PROP E/OU MOR DO LOT RES ALAMEDAS DO HORTO,adm@planejamentocontrole.com.br,MACEIÓ,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,2109966000197,ASSOCIAÇÃO DOS PROPRIETARIOS DO JARDIM DO HORTO II,jardimdohorto2@bol.com.br,MACEIÓ,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,9280439000190,AUTO POSTO CAMPO ALEGRE LTDA,CASSIO.COSTA@GRUPOOLIVALTENORIO.COM.BR,CAMPO ALEGRE,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,5101388000130,AUTO POSTO PIONEIRO LTDA,RAFAEL@MARIZPROJETOS.COM.BR,RIO LARGO,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,35270511000108,AUTO VIACAO NOSSA SRA.DA PIEDADE LTDA.,EDAPIMENTA@HOTMAIL.COM,MACEIÓ,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,562968000101,BRITEX MINERACOES LTDA,contratos@fpconstrutora-al.com.br,RIO LARGO,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,12718011000190,CENTRAL ACUCAREIRA SANTO ANTONIO S/A,carlosroberto@usinasantoantonio.ind.br,SÃO LUÍS DO QUITUNDE,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,12718011001081,CENTRAL ACUCAREIRA SANTO ANTONIO S/A,carlosroberto@usinasantoantonio.ind.br,MATRIZ DE CAMARAGIBE,AL,Filial,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,12270195000179,CIA ALAGOANA DE EMPREEDIMENTOS,adm@cialagoana.com.br,RIO LARGO,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,12953709000190,CONDOMINIO RESIDENCIAL ALDEBARAN ALFA,ALDEBARANALFA@HOTMAIL.COM,MACEIÓ,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,12953725000183,CONDOMINIO RESIDENCIAL ALDEBARAN BETA,ALDEBARANBETA@SUPERIG.COM.BR,MACEIÓ,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,1488593000140,CONDOMINIO RESIDENCIAL ALDEBARAN OMEGA,ALDEBARANOMEGA@HOTMAIL.COM,MACEIÓ,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,24245219000119,CONDOMÍNIO MACEIÓ SHOPPING CENTER,RODAS.JUNIOR@MACEIOSHOPPING.COM,MACEIÓ,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,12229753000152,COOPERATIVA DE COLONIZAÇÃO AGROPECUÁRIA E INDUSTRIAL PINDORAMA LTDA,abel@cooperativapindorama.com.br,CORURIPE,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,6247344000186,CUNHA DISTRIBUIDORA LTDA,eliade@cunhadistribuidora.com.br,PALMEIRA DOS ÍNDIOS,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,12411864000266,DESTILARIA AUTONOMA PORTO ALEGRE LTDA,bruno.gerbase@grupoolivaltenorio.com.br,COLÔNIA LEOPOLDINA,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,10592795000128,DIANA NELIDA ZAZZETTA EIRELI - EPP,talcon.contabil@outlook.com,MACEIÓ,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,35270750000168,EMPAT- EMPRESA ALAGOANA DE TERMINAIS LTDA.,SUPERINTENDENCIA@EMPAT.COM.BR,MACEIÓ,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,10831642000196,FÁBRICA DA PEDRA S/A FIAÇÃO E TECELAGEM,FABIANOP@GCLNET.COM.BR,DELMIRO GOUVEIA,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,9276932000136,HOTEIS SALINAS SA,SEGURANCA@SALINASMARAGOGI.COM.BR,MARAGOGI,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,12392890000103,IMCREL - IRMAOS MOREIRA EXTRAÇÃO MINERAL LTDA,PEDREIRAIMCREL@HOTMAIL.COM,RIO LARGO,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,12217832000224,INDUSTRIAL PORTO RICO S/A,BRUNO.GERBASE@GRUPOOLIVALTENORIO.COM.BR,CAMPO ALEGRE,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,12213443000140,INDUSTRIAS REUNIDAS CORINGA LTDA.,BARBOSA@GRUPOCORINGA.COM.BR,ARAPIRACA,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,70002480000105,J. GUSMAO & CIA LTDA.,FRIGORMAFRIPS@IG.COM.BR,RIO LARGO,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,8518482000188,MANAL MANUTENÇÃO ALAGOANA DE AERONAVES LTDA,DIRETORIAMANAL@MANAL.COM.BR,RIO LARGO,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,10776540004374,MENDO SAMPAIO S/A - USINA ROÇADINHO,wilkerblan@mendosampaio.com.br,SÃO MIGUEL DOS CAMPOS,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,40917346000173,MERCONPLAS INDUSTRIAL DE PLASTICOS COMERCIO S/A,rogerio@merconplas.com.br,ARAPIRACA,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,8986254000132,META DISTRIBUIDOR LTDA,marleide@andradedistribuidor.com.br,ARAPIRACA,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,13342753000470,MIBASA MINERACAO BARRETO SA,RH@MIBASA.COM.BR,BELO MONTE,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,33000167104586,PETROLEO BRASILEIRO S/A PETROBRAS,fabiobarboza@petrobras.com.br,PILAR,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,4077577000152,POSTO QUARTO DE MILHA LTDA,RAFAEL@MARIZPROJETOS.COM.BR,MACEIÓ,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,4077577000314,POSTO QUARTO DE MILHA LTDA,LUIS@PICHILAU.COM.BR,MACEIÓ,AL,Filial,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,8840340000132,REPLAST INDUSTRIA E COMERCIO LTDA,FERREIRASEGURANCA@HOTMAIL.COM,MACEIÓ,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,12275715000136,S.A. LEÃO IRMÃOS AÇÚCAR E ÁLCOOL,SEGURANCAPATRIMONIAL@LEAOIRMAOS.IND.BR,RIO LARGO,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,12307187000150,SANTA CASA DE MISERICÓRDIA DE MACEIÓ,carlosandre@santacasademaceio.com.br,MACEIÓ,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,7811608000145,SOL SALINAS HOTELARIA E SERVIÇOS LTDA,SEGURANCA@SALINASMACEIO.COM.BR,MACEIÓ,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,12733937000155,TRIUNFO AGROINDUSTRIAL LTDA,SANDRO.SAMPAIO@USINATRIUNFO.COM.BR,BOCA DA MATA,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,12282034000286,USINA CAETÉ S/A,FABIANOP@GCLNET.COM.BR,SÃO MIGUEL DOS CAMPOS,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,12282034000367,USINA CAETÉ S/A,FABIANOP@GCLNET.COM.BR,IGREJA NOVA,AL,Filial,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,12282034000600,USINA CAETÉ S/A,FABIANOP@GCLNET.COM.BR,MACEIÓ,AL,Filial,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,12272498000201,USINA CANSANCAO DE SINIMBU S/A,cicero@usinasinimbu.com.br,SÃO MIGUEL DOS CAMPOS,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,12607842000195,USINA SANTA CLOTILDE S/A,JOZIMARSOARES@IG.COM.BR,RIO LARGO,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,12706289000148,USINA SERRA GRANDE S/A,CLODOALDO@USGA.COM.BR,SÃO JOSÉ DA LAJE,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,,USINA SERRA GRANDE S/A,CLODOALDO@USGA.COM.BR,SÃO JOSÉ DA LAJE,AL,Outra Instalação,,Vigilância Patrimonial,Ativa
AL,Empresa,Serviço Orgânico,12265245000120,USINAS REUNIDAS SERESTA S/A,ALFREDO@USINASERESTA.COM.BR,TEOTÔNIO VILELA,AL,Matriz/1a Filial na UF,,Vigilância Patrimonial,Ativa
AM,Empresa,Empresa Especializada,12137071000381,ACADEMIA DE FORMAÇÃO DE VIGILANTES LTDA,AFVMANAUS@GRUPOIVANLOUREIRO.COM,MANAUS,AM,1a Filial na UF,LTDA,Curso de Formação,Ativa
AM,Empresa,Empresa Especializada,14287268000160,ACTION SERVIÇOS DE VIGILANCIA LTDA,ADMINISTRACAO@ACTIONSECURITY.COM.BR,MANAUS,AM,Matriz,LTDA,Vigilância Patrimonial/Escolta Armada,Ativa
AM,Empresa,Empresa Especializada,4718633000190,AMAZON SECURITY LTDA,amsecurity@gpamsecurity.com.br,MANAUS,AM,Matriz,LTDA,Vigilância Patrimonial/Escolta Armada/Segurança Pessoal,Ativa
AM,Empresa,Empresa Especializada,2301090000186,AMAZONAS CENTRO DE FORMAÇÃO E ESPECIALIZAÇÃO EM SEGURANÇA LTDA.,AMAZONASCURSOS@UOL.COM.BR,MANAUS,AM,Matriz,LTDA,Curso de Formação,Ativa
AM,Empresa,Empresa Especializada,60860087016283,BRINK'S SEGURANÇA E TRANSPORTE DE VALORES LTDA.,VANDERLEY.VIEIRA@BRINKS.COM.BR,MANAUS,AM,1a Filial na UF,LTDA,Vigilância Patrimonial/Transporte de Valores,Ativa
